pfi,hospital_name,county,region,unit_name,unit_description,day_UNLICENSED_count,day_UNLICENSED_hours_per_pt,evening_UNLICENSED_count,evening_UNLICENSED_hours_per_pt,night_UNLICENSED_count,night_UNLICENSED_hours_per_pt
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Emergency Department,Adult Emergency Department,6,0.3,6,0.85,6,0.94
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Emergency Department,Pediatric Emergency Department,1,0.12,1,0.37,1,0.37
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Cardiopulmonary Surgery & Vascular ICU (D2N),1,0.62,1,0.62,1,0.62
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Medical ICU (D3E),3,1.39,3,1.39,3,1.39
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Pediatric ICU (E7),2,1.33,2,1.33,2,1.33
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Surgical ICU (B2),3,0.85,3,0.85,3,0.85
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Colorectal Surgery & Urology (C2),3,1.12,2,0.74,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Coronary Care Unit (D2E),2,1.13,2,1.13,2,1.13
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Elective Orthopedics (B3W),3,1.01,3,1.01,2,0.68
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,General Medicine (C3E),1,0.66,1,0.66,1,0.66
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,General Surgery/Trauma (B3),3,0.68,3,0.68,3,0.68
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Hematology/Oncology (D4E),2,0.93,2,0.93,2,0.93
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Infectious Disease (C4),3,1.01,3,1.01,2,0.67
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Cardiology (D4N),3,0.89,3,0.89,3,0.89
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine-Renal (E5),3,0.86,,,3,0.86
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (E3),2,0.65,2,0.65,2,0.65
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (E4),2,0.45,3,0.68,3,0.68
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (M3),2,1.02,2,1.02,2,1.02
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (M4),2,0.8,2,0.8,2,0.8
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroprogressive (D5E),4,1.52,4,1.52,4,1.52
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroscience & Epilepsy Monitoring (D5N),3,1.19,3,1.19,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Orthopedics/Spine (M2),2,1.03,2,1.03,1,0.51
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Post-Cardiothoracic Surgery (C8),3,0.93,3,0.93,3,0.93
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Progressive Critical Care (D3N),3,1.45,3,1.45,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Secure Unit (C3W),1,1.05,1,1.05,1,1.05
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Surgical Short Stay (C6),2,0.92,2,0.92,2,0.92
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular Surgery (C5),3,1.04,3,1.04,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular Surgery (M5),3,1.19,2,0.79,2,0.79
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical-Renal (E5),,,3,0.86,,
