PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CHOW_DT,ELGBLTY_SW,MDCD_VNDR_NUM,PRVDR_NUM,GNRL_CNTL_TYPE_CD,CBSA_URBN_RRL_IND,CBSA_CD,ACRDTN_TYPE_CD,TOT_AFLTD_AMBLNC_SRVC_CNT,TOT_AFLTD_HHA_CNT,CRTFD_BED_CNT,BED_CNT,MDCL_SCHL_AFLTN_CD,PGM_PRTCPTN_CD,LPN_LVN_CNT,RSDNT_PHYSN_CNT,RN_CNT
1.0,1,,Y,,010001,08,U,20020.0,3.0,0.0,0.0,420.0,420.0,2.0,3.0,96.0,0.0,521.0
1.0,1,,N,,010004,08,R,99901.0,1.0,0.0,0.0,64.0,64.0,4.0,3.0,4.0,0.0,9.0
1.0,1,,Y,,010005,08,R,99901.0,1.0,0.0,0.0,240.0,240.0,4.0,3.0,19.5,0.0,137.0
1.0,1,20100701.0,Y,,010006,04,U,22520.0,1.0,0.0,0.0,338.0,338.0,2.0,3.0,13.0,0.0,415.0
1.0,1,,Y,,010007,02,R,99901.0,0.0,0.0,1.0,99.0,99.0,4.0,3.0,15.0,0.0,38.0
1.0,1,20020701.0,Y,,010008,04,R,99901.0,0.0,0.0,1.0,65.0,65.0,4.0,3.0,16.07,0.0,33.87
1.0,1,,Y,,010009,04,U,19460.0,1.0,0.0,0.0,150.0,150.0,4.0,3.0,13.0,0.0,51.0
1.0,1,,Y,,010010,08,R,99901.0,1.0,0.0,0.0,90.0,90.0,4.0,3.0,13.0,0.0,90.0
1.0,1,,Y,,010011,02,U,13820.0,1.0,0.0,0.0,362.0,362.0,3.0,3.0,40.5,14.0,267.06
1.0,1,20240401.0,Y,,010012,04,R,99901.0,1.0,0.0,0.0,134.0,134.0,4.0,3.0,3.9,0.0,121.05
1.0,1,20031201.0,Y,,010015,04,R,99901.0,0.0,0.0,0.0,49.0,49.0,4.0,3.0,8.0,0.0,23.0
1.0,1,20151003.0,Y,,010016,02,U,13820.0,1.0,0.0,0.0,252.0,252.0,4.0,3.0,0.0,0.0,312.5
1.0,1,,Y,,010017,03,U,33860.0,1.0,0.0,0.0,168.0,168.0,4.0,3.0,17.0,0.0,12.0
1.0,1,20130101.0,Y,,010018,02,U,13820.0,1.0,0.0,0.0,106.0,106.0,1.0,3.0,0.0,0.0,40.2
1.0,1,20150101.0,Y,,010019,08,U,22520.0,1.0,0.0,0.0,185.0,185.0,2.0,3.0,6.6,0.0,222.22
1.0,1,19880908.0,Y,,010020,07,U,11500.0,0.0,0.0,0.0,47.0,47.0,4.0,3.0,6.5,0.0,6.5
1.0,1,,Y,,010021,08,R,99901.0,0.0,0.0,0.0,89.0,89.0,4.0,3.0,1.0,0.0,22.0
1.0,1,20180601.0,Y,,010022,04,R,99901.0,1.0,0.0,0.0,60.0,60.0,4.0,3.0,7.0,0.0,22.0
