Hospital Name,Street Address,"City, State, ZIP",Phone
A.O. Fox Memorial Hospital,One Norton Avenue,"Oneonta, NY 13820",(607) 432-2000
A.O. Fox Memorial Hospital - Tri-Town Campus,43 Pearl Street West,"Sidney, NY 13838",(607) 561-2021
Adirondack Medical Center-Lake Placid Site,203 Old Military Road,"Lake Placid, NY 12946",(518) 523-3311
Adirondack Medical Center-Saranac Lake Site,"2233 State Route 86, P.O. Box 471","Saranac Lake, NY 12983",(518) 891-4141
Albany Medical Center - South Clinical Campus,25 Hackett Boulevard,"Albany, NY 12208",(518) 262-1200
Albany Medical Center Hospital,43 New Scotland Avenue,"Albany, NY 12208",(518) 262-3474
Arnot Ogden Medical Center,600 Roe Avenue,"Elmira, NY 14905",(607) 737-4230
Auburn Community Hospital,17 Lansing Street,"Auburn, NY 13021",(315) 255-7209
Bellevue Hospital Center,462 First Avenue,"New York, NY 10016",(212) 562-4132
Bertrand Chaffee Hospital,224 East Main St,"Springville, NY 14141",(716) 592-2871
Blythedale Children's Hospital,95 Bradhurst Avenue,"Valhalla, NY 10595",(914) 592-7555
Bon Secours Community Hospital,160 East Main Street,"Port Jervis, NY 12771",(845) 856-5351
BronxCare Hospital Center,1276 Fulton Avenue,"Bronx, NY 10456",(718) 901-8800
BronxCare Hospital Center,1650 Grand Concourse,"Bronx, NY 10457",(718) 901-8800
Brookdale Hospital Medical Center,1 Brookdale Plaza,"Brooklyn, NY 11212",(718) 240-5276
Brooklyn Hospital Center - Downtown Campus,121 DEKALB AVENUE,"Brooklyn, NY 11201",(718) 250-8000
"Brooks-TLC Hospital System, Inc.",529 Central Avenue,"Dunkirk, NY 14048",(716) 366-1111
Buffalo General Medical Center,100 High Street,"Buffalo, NY 14203",(716) 859-5600
Calvary Hospital,150 55th Street,"Brooklyn, NY 11220",n/a
Calvary Hospital Inc,1740-70 Eastchester Road,"Bronx, NY 10461",(718) 518-2244
Canton-Potsdam Hospital,50 Leroy Street,"Potsdam, NY 13676",(315) 265-3300
Carthage Area Hospital Inc,1001 WEST STREET,"Carthage, NY 13619",(315) 493-1000
Cayuga Medical Center at Ithaca,101 Dates Drive,"Ithaca, NY 14850",(607) 274-4011
Chenango Memorial Hospital Inc,179 North Broad St,"Norwich, NY 13815",(607) 337-4111
Children's Pavilion Upstate Medical University,655 Madison Street,"Syracuse, NY 13210",(315) 464-9681
Claxton-Hepburn Medical Campus,214 King Street,"Ogdensburg, NY 13669",n/a
Clifton Springs Hospital and Clinic,2 Coulter Road,"Clifton Springs, NY 14432",(315) 462-1311
Clifton-Fine Hospital,1014 Oswegatchie Trail PO Box 10,"Star Lake, NY 13690",(315) 848-3351
Cobleskill Regional Hospital,178 Grandview Drive,"Cobleskill, NY 12043",(518) 234-2511
Columbia Memorial Hospital,71 Prospect Ave,"Hudson, NY 12534",(518) 828-7601
Community Memorial Hospital Inc,150 Broad St,"Hamilton, NY 13346",(315) 824-1100
Corning Hospital,1 Guthrie Drive,"Corning, NY 14830",(607) 937-7200
Crouse Hospital,736 Irving Avenue,"Syracuse, NY 13210",(315) 470-7111
Crouse Hospital - Commonwealth Division,6010 East Malloy Road,"Syracuse, NY 13211",(315) 434-2470
Cuba Memorial Hospital Inc,140 West Main Street,"Cuba, NY 14727",(585) 968-2000
David H. Koch Center For Cancer Care,530 East 74th Street,"New York, NY 10021",n/a
Delaware Valley Hospital Inc,1 Titus Place,"Walton, NY 13856",(607) 865-2100
Ellenville Regional Hospital,10 HEALTHY WAY,"Ellenville, NY 12428",(845) 647-6400
Ellis Hospital,1101 Nott Street,"Schenectady, NY 12308",(518) 243-4000
Ellis Hospital - Bellevue Woman's Care Center Division,2210 Troy Road,"Niskayuna, NY 12309",(518) 346-9400
Elmhurst Hospital Center,79-01 Broadway,"Elmhurst, NY 11373",(718) 334-4000
Erie County Medical Center,462 Grider Street,"Buffalo, NY 14215",(716) 898-3000
F.F. Thompson Hospital,350 Parrish Street,"Canandaigua, NY 14424",(716) 396-6527
Faxton St Luke's Healthcare Campus,1650 Champlin  Avenue,"Utica, NY 13502",(315) 624-6001
