In 219 List,Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-PN-HRRP,118,,0.9936,14.7654,14.8602,17,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9690,4.2454,4.3812,Too Few to Report,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-HF-HRRP,93,,0.9520,16.4724,17.3026,12,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-COPD-HRRP,N/A,,1.0177,16.5981,16.3097,Too Few to Report,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-PN-HRRP,118,,0.9936,14.7654,14.8602,17,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9690,4.2454,4.3812,Too Few to Report,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-HF-HRRP,93,,0.9520,16.4724,17.3026,12,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-COPD-HRRP,N/A,,1.0177,16.5981,16.3097,Too Few to Report,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
YES,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-PN-HRRP,78,,0.9758,16.2212,16.6238,11,07/01/2020,06/30/2023
YES,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.6274,2.3969,3.8203,Too Few to Report,07/01/2020,06/30/2023
