In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Start Date,End Date
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,04/01/2021,03/31/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,305,3.9,3.0,4.8,,07/01/2023,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,51,7.7,4.6,12.5,,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,104,13.6,9.6,18.6,,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,161,13.5,10.0,18.2,,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,30,15.4,9.8,23.8,,07/01/2021,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_03,Pressure ulcer rate,No Different Than the National Rate,947,0.47,0,1.63,,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,Not Available,Not Available,7,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,1097,0.20,0,0.44,,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,1139,0.26,0.05,0.48,,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,34,2.33,0.59,4.06,,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_11,Postoperative respiratory failure rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,34,3.47,0.84,6.11,,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_13,Postoperative sepsis rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_14,Postoperative wound dehiscence rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,48,1.05,0,2.15,,07/01/2022,06/30/2024
YES,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.94,0.46,1.42,,07/01/2022,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,454,2.8,1.8,4.4,,04/01/2021,03/31/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,416,4.4,3.2,6.1,,07/01/2023,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,38,8,4.8,13.1,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,41,16.5,11.1,23.9,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,78,17.8,13.1,23.6,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,30,16.3,10.8,23.7,,07/01/2021,06/30/2024
YES,330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,PSI_03,Pressure ulcer rate,Worse Than the National Rate,746,2.03,0.9,3.16,,07/01/2022,06/30/2024
