pfi,hospital_name,county,region,unit_name,unit_description,day_LPN_count,day_LPN_hours_per_pt,evening_LPN_count,evening_LPN_hours_per_pt,night_LPN_count,night_LPN_hours_per_pt
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Emergency Department,Adult Emergency Department,0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Emergency Department,Pediatric Emergency Department,0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Cardiopulmonary Surgery & Vascular ICU (D2N),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Medical ICU (D3E),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Pediatric ICU (E7),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Intensive Care,Surgical ICU (B2),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Colorectal Surgery & Urology (C2),0,0,0,0,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Coronary Care Unit (D2E),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Elective Orthopedics (B3W),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,General Medicine (C3E),1,0.66,1,0.66,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,General Surgery/Trauma (B3),1,0.23,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Hematology/Oncology (D4E),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Infectious Disease (C4),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Cardiology (D4N),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine-Renal (E5),0,0,,,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (E3),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (E4),0,0,0,0,0.71,0.46
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (M3),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medicine/Surgery (M4),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroprogressive (D5E),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroscience & Epilepsy Monitoring (D5N),0,0,0,0,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Orthopedics/Spine (M2),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Post-Cardiothoracic Surgery (C8),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Progressive Critical Care (D3N),0,0,0,0,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Secure Unit (C3W),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Surgical Short Stay (C6),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular Surgery (C5),0,0,0,0,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular Surgery (M5),0,0,0,0,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical-Renal (E5),,,0,0,,
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Colorectal Surgery/Urology (C2),,,,,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Neuroscience & Epilepsy Monitoring Unit (D5N),,,,,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Progressive Care Unit (D3N),,,,,0,0
0001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Medical/Surgical,Vascular (C5),,,,,0,0
0004,Samaritan Hospital - Albany Memorial Campus,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 1 West Wing,1.25,0.32,3,0.56,0.25,0.08
0005,St Peters Hospital,Albany,Capital District Regional Office,Emergency Department,Emergency Department - 0 McAuley,1.75,0.22,3.5,0.38,2.25,0.31
0005,St Peters Hospital,Albany,Capital District Regional Office,Intensive Care,Intensive Care Unit (ICU) - 4 Brady Farrell,0,0,0,0,0,0
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 3 McAuley,1,0.29,1,0.29,1,0.29
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 Brady Farrell,1,0.3,1,0.3,1,0.3
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 5 McAuley,1,0.24,1,0.24,1,0.24
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Brady Farrell,1,0.31,1,0.31,1,0.31
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 McAuley,1,0.25,1,0.25,1,0.26
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Medical Surgical - 6 Pavilion,1,0.22,1,0.22,1,0.22
0005,St Peters Hospital,Albany,Capital District Regional Office,Medical/Surgical,Short Stay Unit - 4 Gabrilove,,,0,0,,
